"year","month","mean_streamflow","mean_swe"
2013,1,0,5.92903225806452
2013,2,0,8.525
2013,3,23.1774193548387,12.9451612903226
2013,4,46.0933333333333,18.53
2013,5,612.496774193548,19.6870967741935
2013,6,1313.23333333333,2.61333333333333
2013,7,451.354838709677,0
2013,8,215.709677419355,0
2013,9,1131.67,0.0266666666666667
2013,10,143.696774193548,0.841935483870968
2013,11,191.933333333333,3.23
2013,12,107,6.09583333333333
2014,1,0,9.15806451612903
2014,2,36.85,15.175
2014,3,152.967741935484,20.7
2014,4,270.273333333333,25.01
2014,5,1944.77419354839,29.7161290322581
2014,6,2751.33333333333,7.91666666666667
2014,7,998.58064516129,0
2014,8,577.774193548387,0
2014,9,239.223333333333,0.01
2014,10,150.129032258065,0.158064516129032
2014,11,71.8333333333333,2.59
2014,12,0,6.19032258064516
2015,1,0,9.45161290322581
2015,2,72.3107142857143,11.9178571428571
2015,3,160.451612903226,15.7677419354839
2015,4,416.2,17.7033333333333
2015,5,1983.87096774194,18.4161290322581
2015,6,2567.33333333333,4.38333333333333
2015,7,1039.70967741935,0
2015,8,268.732258064516,0
2015,9,78.0733333333333,0
2015,10,75.0032258064516,0.34516129032258
2015,11,68.9766666666667,2.44333333333333
2015,12,0,4.39032258064516
2016,1,0,7.6741935483871
2016,2,24.4068965517241,11.1793103448276
2016,3,101.377419354839,13.5483870967742
2016,4,497.666666666667,19.01
2016,5,1648.74193548387,19.5483870967742
2016,6,2150.33333333333,4.35333333333333
2016,7,622.387096774193,0
2016,8,211.025806451613,0
2016,9,47.25,0
2016,10,52.2387096774194,0.0967741935483871
2016,11,51.7,0.99
2016,12,0.282903225806451,5.32258064516129
2017,1,0,12.4354838709677
2017,2,41.0392857142857,16.0214285714286
2017,3,61.9451612903226,17.5806451612903
2017,4,93.43,17.6133333333333
2017,5,1102.54838709677,16.0774193548387
2017,6,2023.33333333333,4.05666666666667
2017,7,658.064516129032,0
2017,8,183.735483870968,0
2017,9,89.56,0.02
2017,10,110.322580645161,0.809677419354839
2017,11,74.8433333333333,2.87666666666667
2017,12,67.4032258064516,5.61612903225806
2018,1,0,8.66451612903226
2018,2,62.3392857142857,11.8035714285714
2018,3,58.9677419354839,15.1645161290323
2018,4,53.5366666666667,21.9266666666667
2018,5,1177.03225806452,15.4612903225806
2018,6,1280.56666666667,0.436666666666667
2018,7,363.451612903226,0
2018,8,176,0
2018,9,72.6633333333333,0
2018,10,45.8709677419355,1.2258064516129
2018,11,52.4966666666667,4.32333333333333
2018,12,16.6064516129032,7.48387096774194
2019,1,0,10.8903225806452
2019,2,0.592857142857143,14.0571428571429
2019,3,57.2161290322581,19.8129032258065
2019,4,130.683333333333,22.1733333333333
2019,5,457.493548387097,21.8935483870968
2019,6,1606.83333333333,11.3133333333333
2019,7,1198.64516129032,0
2019,8,321.322580645161,0
2019,9,115.916666666667,0
2019,10,79.1483870967742,0.719354838709678
2019,11,66.3185185185185,3.03703703703704
2019,12,0,6.00322580645161
2020,1,0,8.8
2020,2,0,14.8655172413793
2020,3,51.8548387096774,19.9709677419355
2020,4,117.37,23.1333333333333
2020,5,849.064516129032,17.8
2020,6,1403.06666666667,0.95
2020,7,345.290322580645,0
2020,8,108.232258064516,0
2020,9,52.4433333333333,0.0766666666666667
2020,10,50.1193548387097,0.348387096774193
2020,11,47.9033333333333,3.17333333333333
2020,12,35.2,4.9875
2021,3,75.7862068965517,17.1931034482759
2021,4,166.526666666667,20.2466666666667
2021,5,1545.16129032258,19.8741935483871
2021,6,1463.9,1.98333333333333
2021,7,463.9,0
2021,8,377.483870967742,0
2021,9,115.563333333333,0
2021,10,80.2516129032258,0.945161290322581
2021,11,73.1133333333333,3.42
2021,12,63.7483870967742,5.78709677419355
2022,1,6.11290322580645,13.3806451612903
2022,2,0,15.6035714285714
2022,3,68.2258064516129,18.2967741935484
2022,4,162.936666666667,21.4233333333333
2022,5,1052,20.7516129032258
2022,6,1496.83333333333,5.2
2022,7,547.741935483871,0
2022,8,269.516129032258,0
2022,9,96.8333333333333,0
2022,10,60.0806451612903,0.193548387096774
2022,11,40.8466666666667,2.32666666666667
2022,12,0,7.23461538461538
2023,1,0,13.1258064516129
2023,2,0,17.5392857142857
2023,3,29.6451612903226,21.358064516129
2023,4,118.13,26.49
2023,5,1029.25806451613,21.2741935483871
2023,6,1784,4.90333333333333
2023,7,787.967741935484,0
2023,8,330.258064516129,0
2023,9,64.15,0
2023,10,63.6838709677419,0.325806451612903
2023,11,62.5966666666667,1.76
2023,12,12.5,4.372
